"location_id","region","locationPeriod_id","admin_level"
"1039","CT-World::AFR::ETH::ET-TI::SemienMiirabaw","6580","admin2"
"10390","CT-World::AFR::COD::Orientale::Poko","3663","admin2"
"10391","CT-World::AFR::BDI::BI-KY::Matongo::Munyinya","7120","admin3"
"10392","CT-World::AFR::COD::Bandundu::Mungindu","2052","admin2"
"10393","CT-World::AFR::MLI::ML-2::Kati::Kourouba::Kourouba","465","admin4"
"10395","CT-World::AFR::BDI::BI-RY::Nyabitsinda::Gatare-Gasenyi","4856","admin3"
"10396","CT-World::AFR::MLI::ML-4::Macina::Sarro::Saloba","3048","admin4"
"10397","CT-World::EMR::AFG::AF-PIA::AhmadAbad","61","admin2"
"10398","CT-World::AFR::BDI::BI-MW::Rusaka::Namande","2264","admin3"
"104","CT-World::AFR::AGO::Luanda","2106","admin1"
"1040","CT-World::AFR::ETH::ET-TI::SemienMiirabaw::TahtayKoraro","6784","admin3"
"10401","CT-World::AFR::BDI::BI-RT::Giharo::Kigunda","9123","admin3"
"10402","CT-World::AFR::BDI::BI-MU::Mbuye::Buyaga","5347","admin3"
"10403","CT-World::AFR::BDI::BI-KR::Nyabikere::Nyenzi","11038","admin3"
"10404","CT-World::AFR::ZWE::ZW-MS::Insiza","5724","admin2"
"10406","CT-World::AFR::ETH::ET-SN::Wolayita::DamotWeydie","11404","admin3"
"10407","CT-World::AFR::BDI::BI-CA::Mishiha::Mishiha","10736","admin3"
"10408","CT-World::AFR::BDI::BI-KY::Matongo::Burarana","3667","admin3"
"10409","CT-World::AFR::BDI::BI-RY::Kinyinya::Bugongo","1291","admin3"
"1041","CT-World::EMR::PAK::Balochistan::Loralai","4724","admin2"
